epoch,phase,loss,acc
0,train,3.814178,14.7428
0,val,2.347093,13.8599
0,train,5.522765,15.0280
0,val,2.308788,13.4522
0,train,9.154425,9.6209
0,val,nan,11.6943
1,train,2.266784,16.5487
1,val,2.366758,11.6178
2,train,2.197886,17.5203
2,val,2.434168,10.8790
3,train,2.136589,21.8819
3,val,2.208980,22.2166
4,train,2.059458,25.3987
4,val,2.208875,18.7006
5,train,1.972223,29.0844
5,val,2.383782,16.2548
6,train,1.878744,34.1113
6,val,2.216274,20.5605
7,train,1.782775,37.9660
7,val,2.213059,27.6433
8,train,1.690591,41.0497
8,val,2.774066,17.9618
9,train,1.656400,44.0912
9,val,2.095713,32.7389
10,train,1.581022,46.7842
10,val,2.000197,32.3822
11,train,1.554574,47.5552
11,val,1.918891,33.4777
12,train,1.515111,49.2132
12,val,1.782947,37.8599
13,train,1.489794,50.6178
13,val,2.187233,36.8153
14,train,1.486478,50.8713
14,val,1.736622,41.6561
15,train,1.443737,51.9379
15,val,1.538237,51.0318
16,train,1.417152,53.4798
16,val,3.995267,17.7070
17,train,1.449902,52.5187
17,val,2.244523,32.3567
18,train,1.353210,55.2645
18,val,2.207155,29.2484
19,train,1.337317,56.2256
19,val,2.867067,29.7325
